ID;17;18;19;20;21
20801;94.0;94.0;94.0;93.0;93.0
158023;93.0;93.0;94.0;94.0;94.0
190871;92.0;92.0;92.0;92.0;92.0
176580;92.0;92.0;91.0;89.0;89.0
167495;92.0;92.0;89.0;88.0;89.0
193080;90.0;90.0;91.0;89.0;88.0
188545;90.0;91.0;90.0;89.0;91.0
173731;90.0;89.0;88.0;85.0;85.0
41236;90.0;88.0;85.0;85.0;85.0
192119;89.0;89.0;89.0;88.0;88.0
183907;89.0;88.0;85.0;84.0;81.0
183277;89.0;90.0;91.0;91.0;91.0
177003;89.0;89.0;91.0;90.0;89.0
176635;89.0;88.0;86.0;84.0;83.0
167664;89.0;90.0;88.0;85.0;85.0
164240;89.0;88.0;88.0;87.0;87.0
155862;89.0;90.0;91.0;89.0;89.0
153079;89.0;89.0;89.0;89.0;90.0
195864;88.0;87.0;87.0;88.0;87.0
194765;88.0;88.0;89.0;89.0;89.0
192985;88.0;89.0;91.0;91.0;91.0
188350;88.0;86.0;86.0;88.0;87.0
184941;88.0;89.0;85.0;82.0;81.0
182521;88.0;90.0;90.0;88.0;89.0
182493;88.0;88.0;90.0;88.0;87.0
178603;88.0;88.0;88.0;87.0;87.0
167948;88.0;88.0;88.0;88.0;87.0
138956;88.0;89.0;89.0;89.0;88.0
121939;88.0;0;0;0;0
120533;88.0;86.0;85.0;84.0;82.0
48940;88.0;86.0;82.0;0;0
1179;88.0;89.0;88.0;83.0;83.0
41;88.0;87.0;86.0;0;82.0
200389;87.0;88.0;90.0;91.0;91.0
198710;87.0;86.0;88.0;85.0;84.0
188567;87.0;88.0;88.0;88.0;88.0
184344;87.0;88.0;86.0;86.0;86.0
181872;87.0;87.0;85.0;84.0;84.0
168651;87.0;87.0;87.0;86.0;85.0
168542;87.0;87.0;90.0;88.0;87.0
162835;87.0;87.0;88.0;88.0;88.0
152729;87.0;87.0;87.0;88.0;88.0
9014;87.0;88.0;84.0;0;0
211110;86.0;88.0;89.0;88.0;87.0
199556;86.0;87.0;86.0;86.0;87.0
197445;86.0;86.0;85.0;85.0;83.0
192883;86.0;85.0;83.0;81.0;81.0
192563;86.0;85.0;84.0;84.0;85.0
189596;86.0;86.0;86.0;86.0;85.0
189511;86.0;86.0;89.0;89.0;88.0
189509;86.0;88.0;86.0;87.0;86.0
189332;86.0;85.0;87.0;87.0;86.0
189242;86.0;86.0;88.0;86.0;85.0
183898;86.0;85.0;84.0;86.0;87.0
179844;86.0;86.0;85.0;83.0;82.0
179813;86.0;87.0;89.0;88.0;86.0
178518;86.0;86.0;85.0;83.0;84.0
176676;86.0;87.0;88.0;85.0;84.0
173210;86.0;85.0;0;0;0
168609;86.0;86.0;85.0;83.0;82.0
165153;86.0;86.0;85.0;87.0;88.0
162895;86.0;86.0;83.0;81.0;78.0
156616;86.0;86.0;83.0;0;82.0
146562;86.0;83.0;80.0;82.0;83.0
137186;86.0;85.0;84.0;0;0
202126;85.0;86.0;89.0;89.0;89.0
193301;85.0;85.0;85.0;86.0;84.0
193041;85.0;85.0;87.0;87.0;87.0
192505;85.0;86.0;87.0;85.0;86.0
190460;85.0;87.0;88.0;88.0;87.0
186942;85.0;85.0;84.0;84.0;84.0
184087;85.0;86.0;86.0;87.0;86.0
180403;85.0;84.0;84.0;82.0;82.0
180206;85.0;85.0;86.0;86.0;86.0
178088;85.0;84.0;83.0;82.0;80.0
177610;85.0;86.0;83.0;84.0;82.0
