Name;ID;2015;2016;2017;2018;2019;2020;2021
L. Messi;158023;['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona']
R. Lewandowski;188545;['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
Cristiano Ronaldo;20801;['Real Madrid'];['Real Madrid'];['Real Madrid'];['Juventus', 'Real Madrid'];['Juventus'];['Juventus'];['Juventus']
K. De Bruyne;192985;['Manchester City', 'Wolfsburg'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City']
Neymar Jr;190871;['Barcelona'];['Barcelona'];['PSG', 'Barcelona'];['PSG'];['PSG'];['PSG'];['PSG']
J. Oblak;200389;['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid']
Alisson;212831;['Internacional'];['Roma', 'Internacional'];['Roma'];['Liverpool', 'Roma'];['Liverpool'];['Liverpool'];['Liverpool']
M. Salah;209331;['Roma', 'Fiorentina', 'Chelsea'];['Roma'];['Liverpool', 'Roma'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool']
S. Mane;208722;['Southampton'];['Liverpool', 'Southampton'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool']
V. van Dijk;203376;['Southampton', 'Celtic'];['Southampton'];['Liverpool', 'Southampton U23', 'Southampton'];['Liverpool', 'Southampton U23', 'Southampton'];['Liverpool'];['Liverpool'];['Liverpool']
K. Mbappe;231747;['Monaco'];['Monaco'];['PSG', 'Monaco'];['PSG'];['PSG'];['PSG'];['PSG']
M. Neuer;167495;['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
M. ter Stegen;192448;['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona']
H. Son;200104;['Tottenham Hotspur', 'Bayer Leverkusen'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur']
H. Kane;202126;['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur']
J. Kimmich;212622;['Bayern Munich', 'RB Leipzig'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
T. Courtois;192119;['Chelsea'];['Chelsea'];['Chelsea'];['Real Madrid', 'Chelsea'];['Real Madrid'];['Real Madrid'];['Real Madrid']
Sergio Ramos;155862;['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid']
Casemiro;200145;['Real Madrid', 'Porto'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid']
K. Benzema;165153;['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid']
N. Kante;215914;['Leicester City', 'Caen'];['Chelsea', 'Leicester City'];['Chelsea'];['Chelsea'];['Chelsea'];['Chelsea'];['Chelsea']
Ederson;210257;['Benfica', 'Rio Ave'];['Benfica'];['Manchester City', 'Benfica'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City']
R. Sterling;202652;['Manchester City', 'Liverpool'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City']
S. Aguero;153079;['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City']
Bruno Fernandes;212198;['Udinese'];['Sampdoria', 'Udinese'];['Sporting CP', 'Sampdoria'];['Sporting CP'];['Manchester United', 'Sporting CP'];['Manchester United', 'Sporting CP'];['Manchester United']
K. Navas;193041;['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['PSG', 'Real Madrid'];['PSG'];['PSG']
K. Koulibaly;201024;['Napoli'];['Napoli'];['Napoli'];['Napoli'];['Napoli'];['Napoli'];['Napoli']
T. Kroos;182521;['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid']
T. Alexander-Arnold;231281;[];['Liverpool U18', 'Liverpool U23', 'Liverpool'];['Liverpool U23', 'Liverpool', 'Liverpool U18'];['Liverpool', 'Liverpool U23'];['Liverpool'];['Liverpool'];['Liverpool']
Fabinho;209499;['Monaco'];['Monaco'];['Monaco'];['Liverpool', 'Monaco'];['Liverpool'];['Liverpool'];['Liverpool']
A. Robertson;216267;['Hull City'];['Hull City'];['Liverpool', 'Hull City'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool']
A. Laporte;212218;['Athletic Club'];['Athletic Club'];['Manchester City', 'Athletic Club'];['Manchester City', 'Athletic Club'];['Manchester City'];['Manchester City'];['Manchester City']
H. Lloris;167948;['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur']
J. Vardy;208830;['Leicester City'];['Leicester City'];['Leicester City'];['Leicester City'];['Leicester City'];['Leicester City'];['Leicester City']
A. Di Maria;183898;['PSG', 'Manchester United'];['PSG'];['PSG'];['PSG'];['PSG'];['PSG'];['PSG']
T. Muller;189596;['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
M. Hummels;178603;['Borussia Dortmund'];['Bayern Munich', 'Borussia Dortmund'];['Bayern Munich'];['Bayern Munich'];['Borussia Dortmund', 'Bayern Munich'];['Borussia Dortmund'];['Borussia Dortmund']
S. Handanovic;162835;['Internazionale'];['Internazionale'];['Internazionale'];['Internazionale'];['Internazionale'];['Internazionale'];['Internazionale']
W. Szczesny;186153;['Roma', 'Arsenal'];['Roma'];['Juventus', 'Roma'];['Juventus'];['Juventus'];['Juventus'];['Juventus']
P. Dybala;211110;['Juventus', 'Palermo'];['Juventus'];['Juventus'];['Juventus'];['Juventus'];['Juventus'];['Juventus']
C. Immobile;192387;['Sevilla', 'Borussia Dortmund'];['Lazio', 'Torino', 'Sevilla'];['Lazio'];['Lazio'];['Lazio'];['Lazio'];['Lazio']
L. Suarez;176580;['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Atletico Madrid', 'Barcelona'];['Atletico Madrid']
L. Modric;177003;['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid']
E. Hazard;183277;['Chelsea'];['Chelsea'];['Chelsea U23', 'Chelsea'];['Chelsea', 'Chelsea U23'];['Real Madrid', 'Chelsea'];['Real Madrid'];['Real Madrid']
P. Aubameyang;188567;['Borussia Dortmund'];['Borussia Dortmund'];['Arsenal', 'Borussia Dortmund'];['Arsenal', 'Borussia Dortmund'];['Arsenal'];['Arsenal'];['Arsenal']
J. Henderson;183711;['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool']
Roberto Firmino;201942;['Liverpool', 'Hoffenheim'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool']
Bernardo Silva;218667;['Monaco'];['Monaco'];['Manchester City', 'Monaco'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City']
De Gea;193080;['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United']
P. Pogba;195864;['Juventus'];['Manchester United', 'Juventus'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United']
Marquinhos;207865;['PSG'];['PSG'];['PSG'];['PSG'];['PSG'];['PSG'];['PSG']
M. Verratti;199556;['PSG'];['PSG'];['PSG'];['PSG'];['PSG'];['PSG'];['PSG']
L. Goretzka;209658;['Schalke 04'];['Schalke 04'];['Schalke 04'];['Bayern Munich', 'Schalke 04'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
S. Gnabry;206113;['West Bromwich Albion', 'Arsenal'];['Werder Bremen', 'West Bromwich Albion'];['Hoffenheim', 'Werder Bremen'];['Bayern Munich', 'Hoffenheim'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
J. Sancho;233049;[];['Manchester City U23', 'Manchester City U18'];['Borussia Dortmund U19', 'Borussia Dortmund', 'Manchester City U23', 'Manchester City U18'];['Borussia Dortmund', 'Borussia Dortmund U19'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund']
E. Haaland;239085;[];['Bryne'];['Molde'];['Salzburg', 'Molde'];['Borussia Dortmund', 'Salzburg'];['Borussia Dortmund', 'Salzburg'];['Borussia Dortmund']
R. Lukaku;192505;['Everton'];['Everton'];['Manchester United', 'Everton'];['Manchester United'];['Internazionale', 'Manchester United'];['Internazionale'];['Internazionale']
G. Chiellini;138956;['Juventus'];['Juventus'];['Juventus'];['Juventus'];['Juventus'];['Juventus'];['Juventus']
G. Donnarumma;230621;['Milan'];['Milan'];['Milan'];['Milan'];['Milan'];['Milan'];['Milan']
Pique;152729;['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona']
Jordi Alba;189332;['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona']
Sergio Busquets;189511;['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona'];['Barcelona']
F. de Jong;228702;[];['Ajax'];['Ajax'];['Ajax'];['Barcelona', 'Ajax'];['Barcelona'];['Barcelona']
A. Griezmann;194765;['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Barcelona', 'Atletico Madrid'];['Barcelona'];['Barcelona']
Carvajal;204963;['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid']
David Silva;168542;['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Real Sociedad', 'Manchester City'];['Real Sociedad']
A. Gomez;143076;['Atalanta'];['Atalanta'];['Atalanta'];['Atalanta'];['Atalanta'];['Sevilla', 'Atalanta'];['Sevilla', 'Atalanta']
Thiago Silva;164240;['PSG'];['PSG'];['PSG'];['PSG'];['PSG'];['Chelsea', 'PSG'];['Chelsea']
H. Ziyech;208670;['Twente'];['Ajax', 'Twente'];['Ajax'];['Ajax'];['Ajax'];['Chelsea', 'Ajax'];['Chelsea']
G. Wijnaldum;181291;['Newcastle United', 'PSV'];['Liverpool', 'Newcastle United'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool']
Thiago;189509;['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Liverpool', 'Bayern Munich'];['Liverpool']
K. Walker;188377;['Tottenham Hotspur'];['Tottenham Hotspur'];['Manchester City', 'Tottenham Hotspur'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City']
Rodri;231866;['Villarreal'];['Villarreal'];['Villarreal'];['Atletico Madrid', 'Villarreal'];['Manchester City', 'Atletico Madrid'];['Manchester City'];['Manchester City']
R. Mahrez;204485;['Leicester City'];['Leicester City'];['Leicester City'];['Manchester City', 'Leicester City'];['Manchester City'];['Manchester City'];['Manchester City']
Fernandinho;135507;['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City']
M. Rashford;231677;['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United']
T. Alderweireld;184087;['Tottenham Hotspur', 'Southampton'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur']
K. Schmeichel;163587;['Leicester City'];['Leicester City'];['Leicester City'];['Leicester City'];['Leicester City'];['Leicester City'];['Leicester City']
Ricardo Pereira;210243;['Nice', 'Porto'];['Nice'];['Porto', 'Nice'];['Leicester City', 'Porto'];['Leicester City'];['Leicester City U23', 'Leicester City'];['Leicester City U23', 'Leicester City']
K. Coman;213345;['Bayern Munich', 'Juventus'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
L. Sane;222492;['Schalke 04', 'Schalke 04 U19'];['Manchester City', 'Schalke 04'];['Manchester City'];['Manchester City'];['Manchester City U23', 'Manchester City'];['Bayern Munich', 'Manchester City U23', 'Manchester City'];['Bayern Munich']
Y. Sommer;177683;"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]"
P. Gulacsi;185122;['RB Leipzig', 'Salzburg'];['RB Leipzig'];['RB Leipzig'];['RB Leipzig'];['RB Leipzig'];['RB Leipzig'];['RB Leipzig']
M. Skriniar;232363;['Sampdoria', 'Zilina'];['Sampdoria', 'Zilina'];['Internazionale', 'Sampdoria'];['Internazionale'];['Internazionale'];['Internazionale'];['Internazionale']
M. de Ligt;235243;[];['Ajax'];['Ajax'];['Ajax'];['Juventus', 'Ajax'];['Juventus'];['Juventus']
S. Milinkovic-Savic;223848;['Lazio', 'Genk'];['Lazio'];['Lazio'];['Lazio'];['Lazio'];['Lazio'];['Lazio']
Luis Alberto;198706;['Deportivo La Coruna', 'Malaga'];['Lazio', 'Deportivo La Coruna'];['Lazio'];['Lazio'];['Lazio'];['Lazio'];['Lazio']
L. Insigne;198219;['Napoli'];['Napoli'];['Napoli'];['Napoli'];['Napoli'];['Napoli'];['Napoli']
D. Mertens;175943;['Napoli'];['Napoli'];['Napoli'];['Napoli'];['Napoli'];['Napoli'];['Napoli']
Koke;193747;['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid']
R. Varane;201535;['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid'];['Real Madrid']
Parejo;189513;['Valencia'];['Valencia'];['Valencia'];['Valencia'];['Valencia'];['Villarreal', 'Valencia'];['Villarreal']
B. Leno;192563;['Bayer Leverkusen'];['Bayer Leverkusen'];['Bayer Leverkusen'];['Arsenal', 'Bayer Leverkusen'];['Arsenal'];['Arsenal'];['Arsenal']
T. Partey;209989;['Atletico Madrid', 'Almeria'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Arsenal', 'Atletico Madrid'];['Arsenal', 'Atletico Madrid']
T. Werner;212188;['Stuttgart'];['RB Leipzig', 'Stuttgart'];['RB Leipzig'];['RB Leipzig'];['RB Leipzig'];['Chelsea', 'RB Leipzig'];['Chelsea']
K. Havertz;235790;[];['Bayer Leverkusen', 'Bayer Leverkusen U19'];['Bayer Leverkusen', 'Bayer Leverkusen U19'];['Bayer Leverkusen'];['Bayer Leverkusen'];['Chelsea', 'Bayer Leverkusen'];['Chelsea']
L. Digne;200458;['Roma', 'PSG'];['Barcelona', 'Roma'];['Barcelona'];['Everton', 'Barcelona'];['Everton'];['Everton'];['Everton']
Joao Cancelo;210514;['Valencia'];['Valencia'];['Internazionale', 'Valencia'];['Juventus', 'Internazionale'];['Manchester City', 'Juventus'];['Manchester City'];['Manchester City']
Alex Telles;212462;['Internazionale', 'Galatasaray'];['Porto', 'Internazionale'];['Porto'];['Porto'];['Porto'];['Manchester United', 'Porto'];['Manchester United']
E. Cavani;179813;['PSG'];['PSG'];['PSG'];['PSG'];['PSG'];['Manchester United', 'PSG'];['Manchester United']
W. Ndidi;226790;['Genk'];['Leicester City', 'Genk'];['Leicester City', 'Genk'];['Leicester City'];['Leicester City'];['Leicester City'];['Leicester City']
R. Jimenez;204838;['Benfica', 'Atletico Madrid'];['Benfica'];['Benfica'];['Wolverhampton Wanderers', 'Benfica'];['Wolverhampton Wanderers'];['Wolverhampton Wanderers'];['Wolverhampton Wanderers']
M. Depay;202556;['Manchester United', 'PSV'];['Olympique Lyonnais', 'Manchester United'];['Olympique Lyonnais', 'Manchester United'];['Olympique Lyonnais'];['Olympique Lyonnais'];['Olympique Lyonnais'];['Olympique Lyonnais']
W. Ben Yedder;199451;['Toulouse'];['Sevilla', 'Toulouse'];['Sevilla'];['Sevilla'];['Monaco', 'Sevilla'];['Monaco'];['Monaco']
M. Icardi;201399;['Internazionale'];['Internazionale'];['Internazionale'];['Internazionale'];['PSG', 'Internazionale'];['PSG'];['PSG']
J. Boateng;183907;['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
R. Burki;189117;['Borussia Dortmund', 'Freiburg'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund']
R. Guerreiro;209889;['Lorient'];['Borussia Dortmund', 'Lorient'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund']
M. Reus;188350;['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund']
M. Sabitzer;204923;['RB Leipzig', 'Salzburg'];['RB Leipzig'];['RB Leipzig'];['RB Leipzig'];['RB Leipzig'];['RB Leipzig'];['RB Leipzig']
J. Ilicic;200647;['Fiorentina'];['Fiorentina'];['Atalanta', 'Fiorentina'];['Atalanta'];['Atalanta'];['Atalanta'];['Atalanta']
S. de Vrij;198176;['Lazio'];['Lazio'];['Lazio'];['Internazionale', 'Lazio'];['Internazionale'];['Internazionale'];['Internazionale']
M. Brozovic;216352;['Internazionale', 'Dinamo Zagreb'];['Internazionale'];['Internazionale'];['Internazionale'];['Internazionale'];['Internazionale'];['Internazionale']
L. Martinez;231478;['Racing Club'];['Racing Club'];['Racing Club'];['Internazionale', 'Racing Club'];['Internazionale'];['Internazionale'];['Internazionale']
L. Bonucci;184344;['Juventus'];['Juventus'];['Milan', 'Juventus'];['Juventus', 'Milan'];['Juventus'];['Juventus'];['Juventus']
Alex Sandro;191043;['Juventus', 'Porto'];['Juventus'];['Juventus'];['Juventus'];['Juventus'];['Juventus'];['Juventus']
Arthur;230658;['Gremio'];['Gremio'];['Gremio'];['Barcelona', 'Gremio'];['Barcelona'];['Juventus', 'Barcelona'];['Juventus']
Z. Ibrahimovic;41236;['PSG'];['Manchester United', 'PSG'];['Manchester United'];['LA Galaxy', 'Manchester United'];['Milan', 'LA Galaxy'];['Milan'];['Milan']
S. Sirigu;168435;['PSG'];['Osasuna', 'Sevilla', 'PSG'];['Torino', 'Osasuna', 'Sevilla'];['Torino'];['Torino'];['Torino'];['Torino']
D. Godin;182493;['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Internazionale', 'Atletico Madrid'];['Cagliari', 'Internazionale'];['Cagliari']
J. Gimenez;216460;['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid']
Marcos Llorente;226161;['Real Madrid'];['Deportivo Alaves', 'Real Madrid'];['Real Madrid', 'Deportivo Alaves'];['Real Madrid'];['Atletico Madrid', 'Real Madrid'];['Atletico Madrid'];['Atletico Madrid']
M. Pjanic;180206;['Roma'];['Juventus', 'Roma'];['Juventus'];['Juventus'];['Juventus'];['Barcelona', 'Juventus'];['Barcelona']
C. Lenglet;220440;['Nancy'];['Sevilla', 'Nancy'];['Sevilla', 'Nancy'];['Barcelona', 'Sevilla'];['Barcelona'];['Barcelona'];['Barcelona']
Iago Aspas;192629;['Celta Vigo', 'Sevilla'];['Celta Vigo'];['Celta Vigo'];['Celta Vigo'];['Celta Vigo'];['Celta Vigo'];['Celta Vigo']
Oyarzabal;230142;['Real Sociedad'];['Real Sociedad'];['Real Sociedad'];['Real Sociedad'];['Real Sociedad'];['Real Sociedad'];['Real Sociedad']
Jesus Navas;146536;['Manchester City'];['Manchester City'];['Sevilla', 'Manchester City'];['Sevilla'];['Sevilla'];['Sevilla'];['Sevilla']
M. Odegaard;222665;['Real Madrid'];['Heerenveen', 'Real Madrid'];['Heerenveen'];['Vitesse', 'Heerenveen'];['Real Sociedad', 'Vitesse'];['Arsenal', 'Real Madrid', 'Real Sociedad'];['Arsenal', 'Real Madrid']
J. Grealish;206517;['Aston Villa'];['Aston Villa U23', 'Aston Villa'];['Aston Villa U23', 'Aston Villa'];['Aston Villa', 'Aston Villa U23'];['Aston Villa'];['Aston Villa'];['Aston Villa']
Azpilicueta;184432;['Chelsea'];['Chelsea'];['Chelsea'];['Chelsea'];['Chelsea'];['Chelsea'];['Chelsea']
M. Kovacic;207410;['Real Madrid', 'Internazionale'];['Real Madrid'];['Real Madrid'];['Chelsea', 'Real Madrid'];['Chelsea'];['Chelsea'];['Chelsea']
Jorginho;205498;['Napoli'];['Napoli'];['Napoli'];['Chelsea', 'Napoli'];['Chelsea'];['Chelsea'];['Chelsea']
Allan;199914;['Napoli', 'Udinese'];['Napoli'];['Napoli'];['Napoli'];['Napoli'];['Everton', 'Napoli'];['Everton']
J. Matip;197061;['Schalke 04'];['Liverpool', 'Schalke 04'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool'];['Liverpool']
J. Gomez;225100;['Liverpool', 'Charlton Athletic'];['Liverpool U23', 'Liverpool'];['Liverpool', 'Liverpool U23'];['Liverpool U23', 'Liverpool'];['Liverpool', 'Liverpool U23'];['Liverpool'];['Liverpool']
I. Gundogan;186942;['Borussia Dortmund'];['Manchester City', 'Borussia Dortmund'];['Manchester City U23', 'Manchester City'];['Manchester City', 'Manchester City U23'];['Manchester City'];['Manchester City'];['Manchester City']
Gabriel Jesus;230666;['Palmeiras'];['Manchester City', 'Palmeiras'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City'];['Manchester City']
A. Wan-Bissaka;229880;[];['Crystal Palace'];['Crystal Palace'];['Crystal Palace'];['Manchester United', 'Crystal Palace'];['Manchester United'];['Manchester United']
A. Martial;211300;['Manchester United', 'Monaco'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United'];['Manchester United']
Y. Tielemans;216393;['Anderlecht'];['Anderlecht'];['Monaco', 'Anderlecht'];['Leicester City', 'Monaco'];['Leicester City', 'Monaco'];['Leicester City'];['Leicester City']
Rui Patricio;178005;['Sporting CP'];['Sporting CP'];['Sporting CP'];['Wolverhampton Wanderers', 'Sporting CP'];['Wolverhampton Wanderers'];['Wolverhampton Wanderers'];['Wolverhampton Wanderers']
Nelson Semedo;227928;['Benfica'];['Benfica'];['Barcelona', 'Benfica'];['Barcelona'];['Barcelona'];['Wolverhampton Wanderers', 'Barcelona'];['Wolverhampton Wanderers']
W. Zaha;198717;['Crystal Palace'];['Crystal Palace'];['Crystal Palace'];['Crystal Palace'];['Crystal Palace'];['Crystal Palace'];['Crystal Palace']
A. Lopes;199482;['Olympique Lyonnais'];['Olympique Lyonnais'];['Olympique Lyonnais'];['Olympique Lyonnais'];['Olympique Lyonnais'];['Olympique Lyonnais'];['Olympique Lyonnais']
P. Kimpembe;225850;['PSG'];['PSG'];['PSG'];['PSG'];['PSG'];['PSG'];['PSG']
Juan Bernat;205069;['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['PSG', 'Bayern Munich'];['PSG'];['PSG'];['PSG']
S. Mandanda;163705;['Olympique Marseille'];['Crystal Palace', 'Olympique Marseille'];['Olympique Marseille', 'Crystal Palace'];['Olympique Marseille'];['Olympique Marseille'];['Olympique Marseille'];['Olympique Marseille']
D. Alaba;197445;['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich'];['Bayern Munich']
L. Hernandez;220814;['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Atletico Madrid'];['Bayern Munich', 'Atletico Madrid'];['Bayern Munich'];['Bayern Munich']
J. Brandt;212194;['Bayer Leverkusen'];['Bayer Leverkusen'];['Bayer Leverkusen'];['Bayer Leverkusen'];['Borussia Dortmund', 'Bayer Leverkusen'];['Borussia Dortmund'];['Borussia Dortmund']
T. Hazard;203486;"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]";"['Borussia Dortmund', ""Borussia M'gladbach""]";['Borussia Dortmund'];['Borussia Dortmund']
A. Witsel;177413;['Zenit'];['Zenit'];['Tianjin Tianhai', 'Zenit'];['Borussia Dortmund', 'Tianjin Tianhai'];['Borussia Dortmund'];['Borussia Dortmund'];['Borussia Dortmund']
M. Ginter;207862;['Borussia Dortmund'];['Borussia Dortmund'];"[""Borussia M'gladbach"", 'Borussia Dortmund']";"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]";"[""Borussia M'gladbach""]"
L. Hradecky;190941;['Eintracht Frankfurt', 'Brondby'];['Eintracht Frankfurt'];['Eintracht Frankfurt'];['Bayer Leverkusen', 'Eintracht Frankfurt'];['Bayer Leverkusen'];['Bayer Leverkusen'];['Bayer Leverkusen']
C. Aranguiz;199042;['Bayer Leverkusen', 'Internacional'];['Bayer Leverkusen'];['Bayer Leverkusen'];['Bayer Leverkusen'];['Bayer Leverkusen'];['Bayer Leverkusen'];['Bayer Leverkusen']
K. Casteels;192984;['Wolfsburg', 'Werder Bremen', 'Hoffenheim'];['Wolfsburg'];['Wolfsburg'];['Wolfsburg'];['Wolfsburg'];['Wolfsburg'];['Wolfsburg']
K. Trapp;188943;['PSG', 'Eintracht Frankfurt'];['PSG'];['PSG'];['Eintracht Frankfurt', 'PSG'];['Eintracht Frankfurt'];['Eintracht Frankfurt'];['Eintracht Frankfurt']
R. Gosens;223697;['Heracles', 'Dordrecht'];['Heracles'];['Atalanta', 'Heracles'];['Atalanta'];['Atalanta'];['Atalanta'];['Atalanta']
D. Zapata;215333;['Udinese', 'Napoli'];['Udinese'];['Sampdoria', 'Udinese'];['Atalanta', 'Sampdoria'];['Atalanta'];['Atalanta'];[]
A. Hakimi;235212;[];['Real Madrid'];['Real Madrid'];['Borussia Dortmund', 'Real Madrid'];['Borussia Dortmund'];['Internazionale', 'Borussia Dortmund'];['Internazionale']
C. Eriksen;190460;['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Tottenham Hotspur'];['Internazionale', 'Tottenham Hotspur'];['Internazionale', 'Tottenham Hotspur'];['Internazionale']
Morata;201153;['Juventus'];['Real Madrid', 'Juventus'];['Chelsea', 'Real Madrid'];['Atletico Madrid', 'Chelsea'];['Atletico Madrid', 'Chelsea'];['Juventus', 'Atletico Madrid'];['Juventus']
T. Strakosha;212151;['Salernitana', 'Lazio'];['Lazio', 'Salernitana'];['Lazio'];['Lazio'];['Lazio'];['Lazio'];['Lazio']
F. Acerbi;199845;['Sassuolo'];['Sassuolo'];['Sassuolo'];['Lazio', 'Sassuolo'];['Lazio'];['Lazio'];['Lazio']
Lucas Leiva;176266;['Liverpool'];['Liverpool U23', 'Liverpool'];['Lazio', 'Liverpool U23', 'Liverpool'];['Lazio'];['Lazio'];['Lazio'];['Lazio']
